epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,8890.59,0.73143,0.89104,1.10206,0.84841,0.81567,0.87535,0.59471,1.14219,0.74005,1.47406,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516
31,9183.44,0.72469,0.88013,1.09781,0.83182,0.84319,0.88777,0.60064,1.13694,0.72451,1.46675,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
32,9474.68,0.72443,0.8753,1.09702,0.86015,0.83912,0.88896,0.60335,1.13382,0.70948,1.46452,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724
33,9767.51,0.7227,0.87011,1.09449,0.85517,0.85633,0.89639,0.61119,1.1201,0.7024,1.44744,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328
34,10058.8,0.71982,0.86312,1.0932,0.86496,0.83314,0.89033,0.60971,1.12555,0.68836,1.44792,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932
35,10351.2,0.71542,0.85854,1.08929,0.85923,0.84788,0.89737,0.61669,1.11164,0.67701,1.44137,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536
36,10642.4,0.71103,0.85053,1.08795,0.87618,0.82714,0.89563,0.61977,1.10733,0.67943,1.44093,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
37,10932.4,0.711,0.8466,1.08861,0.88395,0.83226,0.90243,0.62118,1.1052,0.66699,1.43589,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744
38,11226.7,0.70564,0.8386,1.0856,0.87821,0.83316,0.90092,0.62306,1.09905,0.66802,1.43056,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348
39,11516.6,0.70586,0.83468,1.08483,0.85331,0.86468,0.89858,0.6254,1.09637,0.66322,1.43285,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952
40,11810.2,0.69813,0.82442,1.08088,0.86372,0.86557,0.90031,0.62272,1.09234,0.66156,1.42626,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556
41,12100.8,0.70113,0.83139,1.08215,0.87579,0.8639,0.90175,0.62599,1.09799,0.65285,1.43033,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
42,12384.1,0.69583,0.81888,1.07901,0.87045,0.85748,0.90382,0.63084,1.08591,0.65127,1.41591,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764
43,12671.6,0.68984,0.81204,1.07702,0.86007,0.86483,0.90395,0.62932,1.08192,0.6485,1.41281,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368
44,12961.3,0.68935,0.81231,1.07773,0.86288,0.87378,0.90606,0.63264,1.08249,0.64406,1.41498,0.0248916,0.0082972,0.0248916,0.0082972,0.0248916,0.0082972,0.0248916,0.0082972
45,13255.3,0.68518,0.8039,1.07283,0.87439,0.8684,0.90762,0.63377,1.08209,0.63972,1.41455,0.0247728,0.0082576,0.0247728,0.0082576,0.0247728,0.0082576,0.0247728,0.0082576
46,13541.6,0.6869,0.80101,1.07274,0.8663,0.86893,0.90835,0.63548,1.07989,0.63396,1.41385,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
47,13826.6,0.68758,0.80045,1.07441,0.877,0.8631,0.91097,0.63757,1.07988,0.62927,1.4128,0.0245352,0.0081784,0.0245352,0.0081784,0.0245352,0.0081784,0.0245352,0.0081784
48,14118.1,0.68326,0.79642,1.07145,0.87981,0.86241,0.9102,0.6393,1.07763,0.62597,1.41037,0.0244164,0.0081388,0.0244164,0.0081388,0.0244164,0.0081388,0.0244164,0.0081388
49,14404.7,0.67923,0.79193,1.06985,0.87384,0.87066,0.91218,0.64153,1.07571,0.62438,1.40874,0.0242976,0.0080992,0.0242976,0.0080992,0.0242976,0.0080992,0.0242976,0.0080992
50,14693.3,0.67919,0.78597,1.06828,0.87911,0.86424,0.91156,0.64277,1.07375,0.62043,1.40753,0.0241788,0.0080596,0.0241788,0.0080596,0.0241788,0.0080596,0.0241788,0.0080596
51,14985.8,0.67962,0.78646,1.06851,0.87032,0.87869,0.91329,0.64382,1.07375,0.6184,1.40829,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
52,15279.8,0.67845,0.78509,1.06784,0.88393,0.8693,0.91499,0.64435,1.07413,0.61581,1.40791,0.0239412,0.0079804,0.0239412,0.0079804,0.0239412,0.0079804,0.0239412,0.0079804
53,15571.9,0.67526,0.78191,1.0679,0.88936,0.87066,0.91473,0.64573,1.07217,0.61449,1.40629,0.0238224,0.0079408,0.0238224,0.0079408,0.0238224,0.0079408,0.0238224,0.0079408
54,15865.1,0.6744,0.77373,1.06586,0.88275,0.87362,0.91551,0.64687,1.07161,0.61231,1.40558,0.0237036,0.0079012,0.0237036,0.0079012,0.0237036,0.0079012,0.0237036,0.0079012
55,16154.3,0.67106,0.7675,1.06235,0.87508,0.88387,0.91606,0.64699,1.06953,0.6101,1.40314,0.0235848,0.0078616,0.0235848,0.0078616,0.0235848,0.0078616,0.0235848,0.0078616
56,16438.5,0.66634,0.76527,1.06125,0.875,0.88466,0.91725,0.64905,1.06795,0.60839,1.40202,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
57,16727.9,0.66508,0.75975,1.05937,0.88236,0.87655,0.9186,0.65115,1.06785,0.60807,1.40161,0.0233472,0.0077824,0.0233472,0.0077824,0.0233472,0.0077824,0.0233472,0.0077824
58,17021.9,0.66548,0.75985,1.06047,0.89648,0.86793,0.91919,0.65047,1.06685,0.60552,1.40086,0.0232284,0.0077428,0.0232284,0.0077428,0.0232284,0.0077428,0.0232284,0.0077428
59,17314.2,0.66344,0.75939,1.06054,0.89293,0.87147,0.91924,0.65107,1.06561,0.6038,1.39955,0.0231096,0.0077032,0.0231096,0.0077032,0.0231096,0.0077032,0.0231096,0.0077032
60,17606.3,0.66336,0.75125,1.0579,0.8916,0.87383,0.91985,0.65201,1.06301,0.60225,1.39718,0.0229908,0.0076636,0.0229908,0.0076636,0.0229908,0.0076636,0.0229908,0.0076636
61,17898.5,0.66468,0.75002,1.05907,0.89346,0.87701,0.92006,0.65234,1.06048,0.59923,1.39567,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
62,18190.8,0.65459,0.74349,1.05332,0.8956,0.88,0.9202,0.65336,1.05964,0.59625,1.39521,0.0227532,0.0075844,0.0227532,0.0075844,0.0227532,0.0075844,0.0227532,0.0075844
63,18485.1,0.65841,0.74738,1.05626,0.89943,0.87694,0.91949,0.65383,1.05912,0.59347,1.39492,0.0226344,0.0075448,0.0226344,0.0075448,0.0226344,0.0075448,0.0226344,0.0075448
64,18776.6,0.65131,0.74124,1.05211,0.89816,0.87754,0.91957,0.65382,1.05852,0.59143,1.3944,0.0225156,0.0075052,0.0225156,0.0075052,0.0225156,0.0075052,0.0225156,0.0075052
65,19074.7,0.65137,0.73353,1.05071,0.89712,0.8784,0.91994,0.65496,1.05776,0.59059,1.39413,0.0223968,0.0074656,0.0223968,0.0074656,0.0223968,0.0074656,0.0223968,0.0074656
66,19363,0.6509,0.73537,1.05146,0.89667,0.87905,0.92072,0.65592,1.05789,0.58902,1.39439,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
67,19653.8,0.65141,0.73347,1.05003,0.89962,0.87917,0.92083,0.65561,1.05771,0.58788,1.3942,0.0221592,0.0073864,0.0221592,0.0073864,0.0221592,0.0073864,0.0221592,0.0073864
68,19948.4,0.64951,0.73192,1.04985,0.90038,0.87773,0.92056,0.65653,1.0575,0.58641,1.39437,0.0220404,0.0073468,0.0220404,0.0073468,0.0220404,0.0073468,0.0220404,0.0073468
69,20244.8,0.64728,0.72942,1.04938,0.89742,0.8831,0.92068,0.65716,1.05663,0.58588,1.39317,0.0219216,0.0073072,0.0219216,0.0073072,0.0219216,0.0073072,0.0219216,0.0073072
70,20536.5,0.6496,0.72916,1.05079,0.89642,0.88288,0.9206,0.65769,1.05636,0.58417,1.39274,0.0218028,0.0072676,0.0218028,0.0072676,0.0218028,0.0072676,0.0218028,0.0072676
71,20825.1,0.64555,0.72247,1.04744,0.89489,0.88604,0.92121,0.65819,1.05431,0.58323,1.39118,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
72,21120,0.64382,0.71917,1.04765,0.89392,0.89028,0.92206,0.65937,1.05366,0.58265,1.3906,0.0215652,0.0071884,0.0215652,0.0071884,0.0215652,0.0071884,0.0215652,0.0071884
73,21416.1,0.64341,0.7212,1.04751,0.89505,0.89,0.92244,0.65982,1.05287,0.58235,1.3899,0.0214464,0.0071488,0.0214464,0.0071488,0.0214464,0.0071488,0.0214464,0.0071488
74,21710.6,0.64334,0.71474,1.04502,0.89432,0.89293,0.92296,0.66024,1.05182,0.58167,1.38905,0.0213276,0.0071092,0.0213276,0.0071092,0.0213276,0.0071092,0.0213276,0.0071092
75,22003.6,0.64207,0.71466,1.04484,0.89425,0.8927,0.92319,0.66043,1.05152,0.58021,1.38878,0.0212088,0.0070696,0.0212088,0.0070696,0.0212088,0.0070696,0.0212088,0.0070696
76,22294.5,0.63795,0.70817,1.04261,0.89471,0.8929,0.92271,0.6612,1.0515,0.57864,1.38875,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
77,22589.1,0.63888,0.71399,1.04592,0.89833,0.89132,0.92311,0.6611,1.04972,0.57754,1.38691,0.0209712,0.0069904,0.0209712,0.0069904,0.0209712,0.0069904,0.0209712,0.0069904
78,22884.8,0.63944,0.71188,1.04664,0.89868,0.8912,0.92355,0.6608,1.04777,0.57646,1.38533,0.0208524,0.0069508,0.0208524,0.0069508,0.0208524,0.0069508,0.0208524,0.0069508
79,23178.2,0.63309,0.70531,1.03966,0.89873,0.89011,0.92383,0.66124,1.04664,0.57578,1.38448,0.0207336,0.0069112,0.0207336,0.0069112,0.0207336,0.0069112,0.0207336,0.0069112
80,23473,0.63576,0.70368,1.03989,0.90055,0.88992,0.92443,0.66226,1.04685,0.57493,1.38474,0.0206148,0.0068716,0.0206148,0.0068716,0.0206148,0.0068716,0.0206148,0.0068716
81,23770.1,0.63245,0.70347,1.04122,0.90315,0.88984,0.9244,0.66227,1.04617,0.57443,1.38427,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
82,24062.8,0.62909,0.69844,1.03937,0.90274,0.8892,0.92467,0.66281,1.0461,0.5729,1.38432,0.0203772,0.0067924,0.0203772,0.0067924,0.0203772,0.0067924,0.0203772,0.0067924
83,24352.2,0.62847,0.69532,1.03909,0.90384,0.88827,0.92498,0.66303,1.04555,0.57151,1.38377,0.0202584,0.0067528,0.0202584,0.0067528,0.0202584,0.0067528,0.0202584,0.0067528
84,24644.9,0.62727,0.69472,1.0379,0.90498,0.88797,0.92511,0.6638,1.04598,0.57016,1.38433,0.0201396,0.0067132,0.0201396,0.0067132,0.0201396,0.0067132,0.0201396,0.0067132
85,24940.3,0.62853,0.69618,1.03905,0.90803,0.88843,0.92547,0.66493,1.04607,0.56861,1.38481,0.0200208,0.0066736,0.0200208,0.0066736,0.0200208,0.0066736,0.0200208,0.0066736
86,25235.9,0.62734,0.69004,1.03668,0.90738,0.88876,0.92679,0.66566,1.04478,0.56796,1.38404,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
87,25525.2,0.62207,0.69095,1.0348,0.90774,0.88674,0.9267,0.6662,1.04445,0.56681,1.38367,0.0197832,0.0065944,0.0197832,0.0065944,0.0197832,0.0065944,0.0197832,0.0065944
88,25822.6,0.6215,0.68421,1.03349,0.90448,0.89051,0.92663,0.66636,1.04434,0.56727,1.38377,0.0196644,0.0065548,0.0196644,0.0065548,0.0196644,0.0065548,0.0196644,0.0065548
89,26113.6,0.62118,0.68632,1.03435,0.90533,0.8921,0.92683,0.66748,1.04365,0.56646,1.38306,0.0195456,0.0065152,0.0195456,0.0065152,0.0195456,0.0065152,0.0195456,0.0065152
90,26408.1,0.62095,0.6846,1.03418,0.90504,0.89159,0.92684,0.66761,1.04266,0.56571,1.38214,0.0194268,0.0064756,0.0194268,0.0064756,0.0194268,0.0064756,0.0194268,0.0064756
91,26698.3,0.61669,0.67811,1.03266,0.90643,0.89206,0.92921,0.66779,1.04223,0.56479,1.38216,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
92,26986.4,0.62,0.68038,1.03357,0.90651,0.89185,0.92904,0.66836,1.04107,0.56412,1.38137,0.0191892,0.0063964,0.0191892,0.0063964,0.0191892,0.0063964,0.0191892,0.0063964
93,27278.6,0.61757,0.67874,1.03117,0.90751,0.89186,0.92902,0.66837,1.04043,0.56311,1.38118,0.0190704,0.0063568,0.0190704,0.0063568,0.0190704,0.0063568,0.0190704,0.0063568
94,27563.2,0.61546,0.67669,1.0294,0.90884,0.89228,0.9301,0.66901,1.03992,0.56226,1.38143,0.0189516,0.0063172,0.0189516,0.0063172,0.0189516,0.0063172,0.0189516,0.0063172
95,27853.2,0.61333,0.67613,1.02969,0.90894,0.89266,0.93096,0.66995,1.03918,0.56141,1.38115,0.0188328,0.0062776,0.0188328,0.0062776,0.0188328,0.0062776,0.0188328,0.0062776
96,28141.5,0.61633,0.6743,1.03002,0.90939,0.89363,0.93109,0.67007,1.03861,0.56025,1.38078,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
97,28436.4,0.61477,0.66868,1.02896,0.91167,0.89249,0.93066,0.67022,1.03824,0.56035,1.38059,0.0185952,0.0061984,0.0185952,0.0061984,0.0185952,0.0061984,0.0185952,0.0061984
98,28736.6,0.61181,0.67108,1.02864,0.91243,0.89268,0.93074,0.67131,1.03743,0.55887,1.38021,0.0184764,0.0061588,0.0184764,0.0061588,0.0184764,0.0061588,0.0184764,0.0061588
99,29026.9,0.60932,0.6686,1.02725,0.91283,0.8927,0.93119,0.67236,1.03686,0.55791,1.37991,0.0183576,0.0061192,0.0183576,0.0061192,0.0183576,0.0061192,0.0183576,0.0061192
100,29319.7,0.60875,0.66479,1.02694,0.91252,0.89289,0.93154,0.67326,1.03694,0.5576,1.37999,0.0182388,0.0060796,0.0182388,0.0060796,0.0182388,0.0060796,0.0182388,0.0060796
101,29616.4,0.61114,0.66437,1.02678,0.91127,0.89325,0.93193,0.67378,1.03703,0.55698,1.38022,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
102,29900.1,0.60602,0.65907,1.02382,0.91181,0.89126,0.93212,0.67452,1.03682,0.55667,1.38032,0.0180012,0.0060004,0.0180012,0.0060004,0.0180012,0.0060004,0.0180012,0.0060004
103,30192,0.60456,0.6589,1.02395,0.91212,0.89089,0.93234,0.67482,1.03658,0.55558,1.38018,0.0178824,0.0059608,0.0178824,0.0059608,0.0178824,0.0059608,0.0178824,0.0059608
104,30486.7,0.60115,0.65329,1.0219,0.91545,0.88952,0.93253,0.67501,1.03638,0.55457,1.38038,0.0177636,0.0059212,0.0177636,0.0059212,0.0177636,0.0059212,0.0177636,0.0059212
105,30780.3,0.60161,0.65139,1.0226,0.91623,0.88894,0.93292,0.67612,1.03605,0.55369,1.37987,0.0176448,0.0058816,0.0176448,0.0058816,0.0176448,0.0058816,0.0176448,0.0058816
106,31074.8,0.60428,0.65447,1.02403,0.9141,0.8898,0.93275,0.67619,1.03563,0.55318,1.37946,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
107,31369,0.59865,0.64752,1.01872,0.91496,0.88912,0.93393,0.67718,1.03562,0.55247,1.37956,0.0174072,0.0058024,0.0174072,0.0058024,0.0174072,0.0058024,0.0174072,0.0058024
108,31658.1,0.5983,0.64778,1.02124,0.91402,0.88927,0.93389,0.67662,1.03509,0.55159,1.37921,0.0172884,0.0057628,0.0172884,0.0057628,0.0172884,0.0057628,0.0172884,0.0057628
109,31954,0.5987,0.64592,1.02062,0.9142,0.88829,0.93415,0.67755,1.03405,0.55143,1.37851,0.0171696,0.0057232,0.0171696,0.0057232,0.0171696,0.0057232,0.0171696,0.0057232
110,32249.3,0.59592,0.6455,1.01956,0.91512,0.88506,0.93431,0.67846,1.03312,0.55051,1.37804,0.0170508,0.0056836,0.0170508,0.0056836,0.0170508,0.0056836,0.0170508,0.0056836
111,32548.9,0.59684,0.63992,1.01976,0.91673,0.88549,0.93459,0.67902,1.0325,0.54999,1.37739,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
112,32843.9,0.59618,0.64043,1.01956,0.91561,0.8849,0.93457,0.67935,1.03191,0.54969,1.37708,0.0168132,0.0056044,0.0168132,0.0056044,0.0168132,0.0056044,0.0168132,0.0056044
113,33138.8,0.59387,0.63792,1.01765,0.91548,0.88488,0.93453,0.67987,1.03101,0.54914,1.3759,0.0166944,0.0055648,0.0166944,0.0055648,0.0166944,0.0055648,0.0166944,0.0055648
114,33433.4,0.59205,0.6355,1.01809,0.91542,0.88492,0.93468,0.68024,1.02983,0.54856,1.37503,0.0165756,0.0055252,0.0165756,0.0055252,0.0165756,0.0055252,0.0165756,0.0055252
115,33729.6,0.59489,0.63781,1.01737,0.91586,0.88484,0.93496,0.68063,1.02928,0.54841,1.37435,0.0164568,0.0054856,0.0164568,0.0054856,0.0164568,0.0054856,0.0164568,0.0054856
116,34022.6,0.5923,0.6341,1.01573,0.91424,0.88485,0.9351,0.6816,1.029,0.54777,1.37428,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
117,34313.8,0.58792,0.63439,1.01528,0.91619,0.88555,0.9353,0.68158,1.02874,0.54763,1.37434,0.0162192,0.0054064,0.0162192,0.0054064,0.0162192,0.0054064,0.0162192,0.0054064
118,34604.7,0.58807,0.62785,1.01424,0.91627,0.88748,0.93523,0.68205,1.02786,0.54754,1.37329,0.0161004,0.0053668,0.0161004,0.0053668,0.0161004,0.0053668,0.0161004,0.0053668
119,34897.3,0.58454,0.62972,1.01267,0.91649,0.88654,0.93536,0.68334,1.02701,0.54727,1.3727,0.0159816,0.0053272,0.0159816,0.0053272,0.0159816,0.0053272,0.0159816,0.0053272
120,35190.5,0.58748,0.6291,1.01406,0.91465,0.88861,0.93543,0.68315,1.02708,0.54623,1.37269,0.0158628,0.0052876,0.0158628,0.0052876,0.0158628,0.0052876,0.0158628,0.0052876
121,35478.2,0.5804,0.62205,1.01064,0.92033,0.88689,0.93554,0.68333,1.02613,0.54556,1.37206,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
122,35770,0.58327,0.623,1.0139,0.92323,0.88516,0.93558,0.68352,1.0252,0.54471,1.37169,0.0156252,0.0052084,0.0156252,0.0052084,0.0156252,0.0052084,0.0156252,0.0052084
123,36063.7,0.58343,0.62139,1.01271,0.9238,0.88549,0.93556,0.68336,1.02468,0.5438,1.37133,0.0155064,0.0051688,0.0155064,0.0051688,0.0155064,0.0051688,0.0155064,0.0051688
124,36358.5,0.57994,0.624,1.01204,0.9217,0.88777,0.93597,0.68396,1.02502,0.54367,1.37137,0.0153876,0.0051292,0.0153876,0.0051292,0.0153876,0.0051292,0.0153876,0.0051292
125,36653.3,0.5798,0.61758,1.00883,0.91988,0.88825,0.93632,0.68425,1.02475,0.54296,1.37106,0.0152688,0.0050896,0.0152688,0.0050896,0.0152688,0.0050896,0.0152688,0.0050896
126,36945.6,0.57874,0.61866,1.01071,0.91635,0.8917,0.93621,0.68498,1.02447,0.54185,1.37071,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
127,37239.3,0.57578,0.61722,1.00834,0.91408,0.8937,0.93633,0.68533,1.02414,0.54208,1.37047,0.0150312,0.0050104,0.0150312,0.0050104,0.0150312,0.0050104,0.0150312,0.0050104
128,37530.7,0.57902,0.61163,1.00892,0.91812,0.89206,0.93662,0.68513,1.02373,0.54178,1.37024,0.0149124,0.0049708,0.0149124,0.0049708,0.0149124,0.0049708,0.0149124,0.0049708
129,37832,0.57245,0.61104,1.00782,0.91682,0.89321,0.93682,0.68606,1.02307,0.54106,1.36976,0.0147936,0.0049312,0.0147936,0.0049312,0.0147936,0.0049312,0.0147936,0.0049312
130,38138,0.57133,0.60664,1.00602,0.91868,0.89121,0.93685,0.68586,1.02295,0.54046,1.36948,0.0146748,0.0048916,0.0146748,0.0048916,0.0146748,0.0048916,0.0146748,0.0048916
131,38436.9,0.57435,0.61037,1.00634,0.91757,0.89042,0.93684,0.68631,1.02215,0.53981,1.36877,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
132,38737.5,0.57069,0.60837,1.00663,0.91758,0.8915,0.93724,0.68658,1.0213,0.53891,1.36816,0.0144372,0.0048124,0.0144372,0.0048124,0.0144372,0.0048124,0.0144372,0.0048124
