epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1064.71,1.10463,0.84945,1.30608,0.85489,0.76733,0.85713,0.52177,1.26479,0.74216,1.42276,0.0008912,0.0008912,0.0008912
44,1089.73,1.07437,0.8261,1.29296,0.85089,0.7678,0.85117,0.51713,1.26015,0.75175,1.42948,0.0008648,0.0008648,0.0008648
45,1114.2,1.08087,0.8194,1.30192,0.8611,0.7467,0.84506,0.51949,1.26376,0.73008,1.41637,0.0008384,0.0008384,0.0008384
46,1138.64,1.07261,0.80852,1.28197,0.85538,0.78378,0.85836,0.52692,1.25487,0.70444,1.41996,0.000812,0.000812,0.000812
47,1163.15,1.0626,0.79635,1.27659,0.84386,0.79385,0.86516,0.53362,1.24461,0.7035,1.40426,0.0007856,0.0007856,0.0007856
48,1187.53,1.0749,0.79041,1.27731,0.86449,0.76968,0.86354,0.53309,1.24535,0.70811,1.40262,0.0007592,0.0007592,0.0007592
49,1210.61,1.07413,0.79806,1.28212,0.86287,0.78376,0.86164,0.52693,1.26744,0.70303,1.41543,0.0007328,0.0007328,0.0007328
50,1234.48,1.04038,0.77903,1.26479,0.87501,0.76508,0.85534,0.52292,1.24725,0.72961,1.40683,0.0007064,0.0007064,0.0007064
51,1257.97,1.03155,0.7577,1.26212,0.87029,0.77268,0.8607,0.52862,1.25598,0.69961,1.42489,0.00068,0.00068,0.00068
52,1282.11,1.03932,0.75797,1.25961,0.89166,0.75436,0.85535,0.53037,1.26656,0.71764,1.42882,0.0006536,0.0006536,0.0006536
53,1305.6,1.03091,0.75926,1.25434,0.86451,0.78085,0.86299,0.53376,1.23696,0.71442,1.39055,0.0006272,0.0006272,0.0006272
54,1330.22,1.00978,0.74093,1.24267,0.88184,0.78493,0.86785,0.53339,1.24488,0.68145,1.4009,0.0006008,0.0006008,0.0006008
55,1355.74,1.02291,0.73111,1.24925,0.88569,0.76851,0.86708,0.52869,1.26155,0.69685,1.42216,0.0005744,0.0005744,0.0005744
56,1379.96,0.98072,0.7042,1.22814,0.86701,0.78142,0.86521,0.52767,1.25263,0.7074,1.42037,0.000548,0.000548,0.000548
57,1404.41,0.99547,0.70592,1.2245,0.85681,0.78437,0.86243,0.53408,1.26022,0.70112,1.41821,0.0005216,0.0005216,0.0005216
58,1428.83,0.9744,0.69926,1.21883,0.87969,0.78085,0.85831,0.53564,1.24965,0.68929,1.40729,0.0004952,0.0004952,0.0004952
59,1453.16,0.98197,0.71047,1.22713,0.87914,0.76501,0.86469,0.53858,1.23171,0.68641,1.39949,0.0004688,0.0004688,0.0004688
60,1477.56,0.9653,0.68759,1.21153,0.87091,0.78378,0.86419,0.53994,1.24189,0.67743,1.40872,0.0004424,0.0004424,0.0004424
61,1501.12,0.9741,0.68234,1.20832,0.87858,0.78143,0.87241,0.54344,1.26375,0.6712,1.42426,0.000416,0.000416,0.000416
62,1525.9,0.95552,0.66767,1.20122,0.87433,0.78613,0.86694,0.54079,1.24085,0.6691,1.41585,0.0003896,0.0003896,0.0003896
63,1550.41,0.95761,0.67585,1.20981,0.88271,0.77908,0.86943,0.53464,1.24514,0.68001,1.41088,0.0003632,0.0003632,0.0003632
64,1574.53,0.96324,0.67484,1.20718,0.87405,0.7879,0.87312,0.54131,1.24495,0.68181,1.40821,0.0003368,0.0003368,0.0003368
65,1598.17,0.9416,0.6638,1.19768,0.86338,0.78344,0.87566,0.54541,1.23675,0.6767,1.40545,0.0003104,0.0003104,0.0003104
66,1626.47,0.85457,0.49038,1.1577,0.8738,0.77732,0.86753,0.53902,1.24178,0.67299,1.41482,0.000284,0.000284,0.000284
67,1647.58,0.81824,0.44099,1.13503,0.85806,0.79559,0.87572,0.53981,1.24601,0.67542,1.41887,0.0002576,0.0002576,0.0002576
68,1668,0.79738,0.43212,1.1236,0.8725,0.80009,0.87667,0.54626,1.24198,0.67063,1.42299,0.0002312,0.0002312,0.0002312
69,1689.39,0.797,0.41531,1.11318,0.88307,0.79377,0.87585,0.54382,1.25303,0.6672,1.43296,0.0002048,0.0002048,0.0002048
70,1709.8,0.79858,0.42394,1.11439,0.88748,0.7832,0.87235,0.5476,1.24239,0.66287,1.43264,0.0001784,0.0001784,0.0001784
71,1730.82,0.78649,0.40943,1.10568,0.89752,0.77908,0.87735,0.54905,1.24247,0.64405,1.43726,0.000152,0.000152,0.000152
72,1751.89,0.7652,0.39616,1.08878,0.90054,0.77967,0.8799,0.5499,1.23779,0.64726,1.43175,0.0001256,0.0001256,0.0001256
73,1772.85,0.76101,0.39857,1.08281,0.88583,0.79083,0.87534,0.55129,1.24212,0.65483,1.43296,9.92e-05,9.92e-05,9.92e-05
74,1793.74,0.75643,0.39173,1.08157,0.88123,0.78966,0.87699,0.55022,1.23988,0.65438,1.43216,7.28e-05,7.28e-05,7.28e-05
75,1814.64,0.75355,0.38248,1.08735,0.87839,0.78937,0.8753,0.55029,1.24137,0.65492,1.43858,4.64e-05,4.64e-05,4.64e-05
